시도,시군구,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시
서울,종로구,8,5,3,5,6,2,2,0,2,2,8,9
서울,마포구,20,12,10,10,9,1,4,2,3,6,9,18
서울,강서구,12,12,4,7,6,4,3,3,5,5,14,14
서울,구로구,15,6,8,4,6,5,6,1,5,11,17,10
서울,영등포구,18,11,7,11,7,2,2,1,5,9,15,23
서울,동작구,12,5,2,6,7,1,1,0,0,2,7,15
서울,관악구,12,9,10,7,5,1,4,0,2,6,9,11
서울,강남구,47,32,23,15,22,11,9,3,8,7,27,59
서울,강동구,9,6,4,4,1,3,1,2,4,2,7,11
서울,송파구,20,23,10,8,4,5,4,8,3,13,15,32
서울,서초구,26,20,12,8,13,7,3,3,4,11,21,31
서울,중구,6,6,1,2,3,1,0,1,2,3,7,5
서울,양천구,9,3,7,4,6,3,2,2,2,7,8,12
서울,중랑구,5,7,6,2,5,2,2,2,4,6,7,9
서울,노원구,11,7,6,6,7,4,2,3,4,10,6,13
서울,광진구,7,4,4,4,3,3,2,1,4,2,14,9
서울,강북구,4,7,4,0,3,0,0,0,1,4,5,8
서울,금천구,12,3,1,1,0,2,1,1,4,8,15,13
서울,용산구,10,6,6,3,3,2,1,3,0,5,13,12
서울,성동구,8,2,5,3,1,3,4,3,2,4,3,12
서울,동대문구,6,5,8,3,4,2,3,3,2,2,8,10
서울,성북구,6,1,3,2,3,1,1,1,2,4,6,7
서울,도봉구,6,5,4,3,4,0,1,1,3,4,4,9
서울,은평구,9,6,7,5,2,0,1,4,3,6,5,8
서울,서대문구,7,3,8,2,1,0,1,0,0,1,4,7
